THD,T,Time
2,1,0.0153709
2,1,0.0148512
2,1,0.0107194
2,1,0.0107618
2,1,0.0127184
2,1,0.0154922
2,1,0.015545
2,1,0.0157774
2,1,0.0121655
2,1,0.0107116
2,1,0.0108744
2,1,0.0108446
2,1,0.0106177
2,1,0.011309
2,1,0.0108558
2,1,0.0106758
2,1,0.0107008
2,1,0.010717
2,1,0.0107715
2,1,0.0108063
2,1,0.0107612
2,1,0.0108342
2,1,0.0107508
2,1,0.0106753
2,1,0.0106607
2,1,0.0111809
2,1,0.0108965
2,1,0.0106742
2,1,0.0107102
2,1,0.0109195
2,1,0.0108064
2,1,0.0109221
2,1,0.0108908
2,1,0.0109581
2,1,0.0109061
2,1,0.0107207
2,1,0.0107391
2,1,0.0108777
2,1,0.0108053
2,1,0.0108712
2,1,0.010662
2,1,0.0106416
2,1,0.0107316
2,1,0.0109762
2,1,0.0108462
2,1,0.0108387
2,1,0.0106904
2,1,0.0107491
2,1,0.0107527
2,1,0.0107313
2,2,0.0374754
2,2,0.0385494
2,2,0.0378969
2,2,0.0390247
2,2,0.0385234
2,2,0.0389438
2,2,0.0399422
2,2,0.0383104
2,2,0.0394511
2,2,0.038304
2,2,0.0393173
2,2,0.0390001
2,2,0.0380333
2,2,0.038208
2,2,0.0399674
2,2,0.0390839
2,2,0.0387557
2,2,0.0390002
2,2,0.0384417
2,2,0.0401545
2,2,0.0389344
2,2,0.0391543
2,2,0.0389008
2,2,0.0399871
2,2,0.0393956
2,2,0.0388392
2,2,0.0394512
2,2,0.0395172
2,2,0.0390185
2,2,0.0387176
2,2,0.0387934
2,2,0.0387548
2,2,0.0393713
2,2,0.0396872
2,2,0.0388444
2,2,0.0390996
2,2,0.0392994
2,2,0.0386995
2,2,0.0381412
2,2,0.0396718
2,2,0.0388393
2,2,0.0376305
2,2,0.0365515
2,2,0.0377415
2,2,0.0390731
2,2,0.0392168
2,2,0.0395061
2,2,0.0393323
2,2,0.0386134
2,2,0.0390164
2,3,0.14295
2,3,0.143529
2,3,0.143155
2,3,0.143592
2,3,0.14264
2,3,0.143035
2,3,0.141684
2,3,0.142502
2,3,0.142483
2,3,0.142433
2,3,0.142606
2,3,0.143022
2,3,0.142967
2,3,0.14296
2,3,0.142865
2,3,0.142719
2,3,0.143099
2,3,0.142644
2,3,0.142695
2,3,0.142803
2,3,0.142278
2,3,0.142593
2,3,0.142356
2,3,0.142621
2,3,0.142319
2,3,0.14249
2,3,0.142488
2,3,0.142372
2,3,0.142558
2,3,0.142863
2,3,0.142644
2,3,0.142645
2,3,0.142416
2,3,0.142517
2,3,0.142802
2,3,0.142792
2,3,0.143133
2,3,0.142006
2,3,0.142053
2,3,0.142622
2,3,0.142583
2,3,0.142346
2,3,0.142577
2,3,0.143055
2,3,0.142731
2,3,0.142954
2,3,0.143249
2,3,0.142494
2,3,0.14268
2,3,0.142656
2,4,0.585884
2,4,0.635589
2,4,0.854645
2,4,0.915797
2,4,0.563813
2,4,0.564756
2,4,0.563992
2,4,0.563337
2,4,0.563693
2,4,0.562072
2,4,0.562424
2,4,0.56415
2,4,0.562436
2,4,0.564048
2,4,0.562713
2,4,0.563747
2,4,0.56356
2,4,0.574909
2,4,0.597679
2,4,0.577841
2,4,0.592539
2,4,0.57844
2,4,0.563728
2,4,0.806542
2,4,0.625281
2,4,0.562212
2,4,0.562163
2,4,0.563959
2,4,0.56383
2,4,0.563535
2,4,0.562888
2,4,0.563079
2,4,0.562553
2,4,0.563124
2,4,0.563691
2,4,0.562457
2,4,0.56224
2,4,0.562995
2,4,0.563342
2,4,0.56283
2,4,0.562861
2,4,0.562993
2,4,0.665388
2,4,0.562209
2,4,0.563011
2,4,0.562006
2,4,0.562023
2,4,0.562106
2,4,0.562732
2,4,0.562955
2,5,3.70901
2,5,3.89885
2,5,3.89803
2,5,3.89856
2,5,3.90109
2,5,3.89627
2,5,3.89754
2,5,3.89845
2,5,3.90122
2,5,3.90079
2,5,3.90518
2,5,3.90338
2,5,3.88266
2,5,2.98136
2,5,3.33385
2,5,3.78563
2,5,3.82871
2,5,2.40477
2,5,2.77674
2,5,3.89956
2,5,3.88472
2,5,3.88343
2,5,3.87929
2,5,3.87973
2,5,3.87917
2,5,3.88214
2,5,3.87942
2,5,3.99309
2,5,3.90791
2,5,3.88234
2,5,3.87035
2,5,2.44246
2,5,2.36564
2,5,2.35429
2,5,2.3619
2,5,2.36125
2,5,2.3594
2,5,2.35562
2,5,2.36389
2,5,2.3586
2,5,2.35764
2,5,2.35213
2,5,2.36029
2,5,2.36172
2,5,2.36286
2,5,2.35564
2,5,2.35532
2,5,2.35964
2,5,2.35541
2,5,2.46176
2,6,8.98799
2,6,10.5262
2,6,15.1697
2,6,15.3219
2,6,14.8776
2,6,10.6025
2,6,13.7985
2,6,15.1579
2,6,12.3431
2,6,11.0827
2,6,8.92734
2,6,8.92378
2,6,8.90043
2,6,8.97633
2,6,9.27925
2,6,11.5579
2,6,15.1343
2,6,15.154
2,6,15.1437
2,6,15.1603
2,6,14.9581
2,6,10.4714
2,6,8.89122
2,6,9.16636
2,6,9.8513
2,6,9.22244
2,6,8.7821
2,6,8.82128
2,6,8.79454
2,6,11.8625
2,6,15.1006
2,6,15.1056
2,6,15.1114
2,6,15.1079
2,6,15.1291
2,6,15.1335
2,6,15.16
2,6,15.148
2,6,11.6122
2,6,11.8301
2,6,14.1135
2,6,15.1046
2,6,14.9313
2,6,15.1434
2,6,15.1247
2,6,15.1092
2,6,15.0792
2,6,10.8987
2,6,8.91316
2,6,8.92058
4,1,0.0149067
4,1,0.0147026
4,1,0.0145609
4,1,0.0147982
4,1,0.0151251
4,1,0.0154743
4,1,0.0159633
4,1,0.0152326
4,1,0.0145916
4,1,0.0146509
4,1,0.0145824
4,1,0.0145376
4,1,0.0148192
4,1,0.0151719
4,1,0.0151898
4,1,0.0152178
4,1,0.0145918
4,1,0.0146738
4,1,0.0146081
4,1,0.0148316
4,1,0.015124
4,1,0.0155554
4,1,0.0149769
4,1,0.0147515
4,1,0.0146779
4,1,0.0143555
4,1,0.0142563
4,1,0.0144918
4,1,0.0144689
4,1,0.0146636
4,1,0.0145585
4,1,0.0143635
4,1,0.0145384
4,1,0.0144105
4,1,0.0142656
4,1,0.0145101
4,1,0.0154399
4,1,0.0161292
4,1,0.0156163
4,1,0.0147256
4,1,0.0146512
4,1,0.0142849
4,1,0.0150186
4,1,0.0151874
4,1,0.0147622
4,1,0.0145577
4,1,0.0146217
4,1,0.0145589
4,1,0.0143964
4,1,0.0144714
4,2,0.040972
4,2,0.0363612
4,2,0.0379164
4,2,0.0432191
4,2,0.036673
4,2,0.0367749
4,2,0.036219
4,2,0.0368301
4,2,0.0366013
4,2,0.0396135
4,2,0.0431585
4,2,0.0362973
4,2,0.0364305
4,2,0.0362156
4,2,0.0412099
4,2,0.0375751
4,2,0.0369962
4,2,0.0364728
4,2,0.0365071
4,2,0.0364645
4,2,0.0362947
4,2,0.039777
4,2,0.0364489
4,2,0.0362347
