T,Time
1,0.0131886
1,0.0132546
1,0.0133784
1,0.0132211
1,0.0133865
1,0.0133828
1,0.0132511
1,0.0132603
1,0.0133031
1,0.0132878
1,0.0132955
1,0.013299
1,0.0132923
1,0.0132981
1,0.0133058
1,0.0132276
1,0.0132423
1,0.0132342
1,0.0132453
1,0.0132449
1,0.0132494
1,0.0132705
1,0.0132286
1,0.0132742
1,0.0133065
1,0.0132914
1,0.0133098
1,0.0132963
1,0.0132888
1,0.0133693
1,0.0132416
1,0.0132335
1,0.0132411
1,0.0132592
1,0.0132355
1,0.0132464
1,0.0132429
1,0.0132286
1,0.0132405
1,0.0132335
1,0.0132402
1,0.013377
1,0.0134904
1,0.0134776
1,0.0133936
1,0.0132561
1,0.0132311
1,0.01325
1,0.0132359
1,0.0132448
2,0.0552052
2,0.0552176
2,0.0551861
2,0.0551968
2,0.0551951
2,0.0552029
2,0.0551923
2,0.0551955
2,0.0551849
2,0.0552179
2,0.0551882
2,0.0550032
2,0.0545576
2,0.0545871
2,0.0546244
2,0.0546089
2,0.054646
2,0.0546229
2,0.0546642
2,0.0546496
2,0.0546389
2,0.0546295
2,0.0546498
2,0.0546331
2,0.0546092
2,0.054625
2,0.0546263
2,0.0546729
2,0.0546433
2,0.0546559
2,0.0546428
2,0.0546378
2,0.0546554
2,0.0546613
2,0.0546707
2,0.0546709
2,0.0546691
2,0.0546588
2,0.0546427
2,0.0546641
2,0.0546787
2,0.0546708
2,0.054692
2,0.0546888
2,0.0546574
2,0.0546637
2,0.0546806
2,0.0546633
2,0.0546653
2,0.054673
3,0.226567
3,0.226571
3,0.226732
3,0.226603
3,0.226497
3,0.22866
3,0.226859
3,0.226631
3,0.227454
3,0.227175
3,0.226669
3,0.227568
3,0.226763
3,0.226512
3,0.226529
3,0.226555
3,0.22659
3,0.226532
3,0.226614
3,0.226575
3,0.226583
3,0.226601
3,0.228603
3,0.226563
3,0.226551
3,0.226605
3,0.22661
3,0.228716
3,0.22877
3,0.228902
3,0.22878
3,0.228497
3,0.226559
3,0.226641
3,0.226535
3,0.226581
3,0.226566
3,0.226596
3,0.226588
3,0.228613
3,0.226862
3,0.226625
3,0.226652
3,0.226582
3,0.226619
3,0.226572
3,0.228024
3,0.226528
3,0.226653
3,0.226635
4,0.915984
4,0.91558
4,0.915653
4,0.915886
4,0.916908
4,0.916472
4,0.914698
4,0.914869
4,0.914794
4,0.914752
4,0.920222
4,0.925444
4,0.925083
4,0.914503
4,0.91477
4,0.914786
4,0.914647
4,0.914683
4,0.91491
4,0.92068
4,0.914829
4,0.914816
4,0.914871
4,0.924206
4,0.916232
4,0.914728
4,0.914859
4,0.914834
4,0.914825
4,0.914833
4,0.915282
4,0.915215
4,0.916033
4,0.915649
4,0.92086
4,0.914826
4,0.935337
4,0.928239
4,0.919789
4,0.926886
4,0.924675
4,0.922197
4,0.919135
4,0.919001
4,0.919662
4,0.920799
4,0.919267
4,0.920157
4,0.924298
4,0.923011
5,3.69056
5,3.69152
5,3.68991
5,3.69002
5,3.69052
5,3.68926
5,3.79061
5,3.78724
5,3.76471
5,3.76074
5,3.77424
5,3.79743
5,3.7334
5,3.74215
5,3.73637
5,3.89741
5,3.77883
5,3.71179
5,3.71077
5,3.70594
5,3.70977
5,3.69466
5,3.69438
5,3.70029
5,3.72743
5,3.69691
5,3.73135
5,3.70999
5,3.71133
5,3.71206
5,3.71328
5,3.71422
5,3.71106
5,3.74844
5,3.80237
5,3.74216
5,3.74534
5,3.74941
5,3.74239
5,3.73739
5,3.7351
5,3.73789
5,3.7418
5,3.72773
5,3.72391
5,3.7318
5,3.72291
5,3.72798
5,3.73064
5,3.73757
6,14.9581
6,14.991
6,14.969
6,15.0107
6,14.996
6,15.1388
6,15.0558
6,14.9582
6,15.1481
6,15.1487
6,15.1962
6,15.1293
6,15.1053
6,15.1409
6,15.1288
6,15.1359
6,15.1145
6,15.0625
6,14.8453
6,14.8718
6,14.8437
6,14.9001
6,14.984
6,14.8889
6,15.0119
6,15.0086
6,15.0438
6,15.1598
6,14.9454
6,14.8117
6,14.7702
6,14.7549
6,14.7968
6,14.7711
6,14.7776
6,14.9362
6,15.2598
6,15.1032
6,15.0427
6,15.0087
6,14.9378
6,14.9289
6,14.8955
6,14.7962
6,14.8097
6,14.7891
6,14.7808
6,14.7701
6,14.7639
6,14.7634
