THD,T,Time
2,1,0.0105916
2,1,0.0106502
2,1,0.0107175
2,1,0.0107707
2,1,0.010713
2,1,0.014977
2,1,0.0153737
2,1,0.0122853
2,1,0.0108
2,1,0.0108839
2,1,0.0108148
2,1,0.0108455
2,1,0.0106954
2,1,0.0107484
2,1,0.0107948
2,1,0.0106655
2,1,0.0107269
2,1,0.0107127
2,1,0.0106837
2,1,0.0108535
2,1,0.0107403
2,1,0.0107259
2,1,0.0108629
2,1,0.0107685
2,1,0.0107504
2,1,0.0108312
2,1,0.0109234
2,1,0.0106781
2,1,0.0109207
2,1,0.011003
2,1,0.0109851
2,1,0.0109127
2,1,0.0108232
2,1,0.0107934
2,1,0.01086
2,1,0.0108262
2,1,0.0107223
2,1,0.0107065
2,1,0.0107587
2,1,0.0108364
2,1,0.0107874
2,1,0.0109831
2,1,0.0131123
2,1,0.015486
2,1,0.0155603
2,1,0.0133228
2,1,0.0109399
2,1,0.010806
2,1,0.01074
2,1,0.0106825
2,2,0.0483561
2,2,0.0364027
2,2,0.0363505
2,2,0.0363912
2,2,0.03636
2,2,0.0364455
2,2,0.0363966
2,2,0.036346
2,2,0.0363823
2,2,0.0364536
2,2,0.0364179
2,2,0.0471894
2,2,0.0399403
2,2,0.0364264
2,2,0.0363905
2,2,0.0364044
2,2,0.0364598
2,2,0.0364345
2,2,0.0364429
2,2,0.0363834
2,2,0.0364206
2,2,0.0364229
2,2,0.0440667
2,2,0.0537732
2,2,0.0367811
2,2,0.0366732
2,2,0.0475759
2,2,0.0367268
2,2,0.0366234
2,2,0.0365734
2,2,0.0366025
2,2,0.0367985
2,2,0.0368709
2,2,0.0370014
2,2,0.0370961
2,2,0.036838
2,2,0.0375934
2,2,0.0456828
2,2,0.0365998
2,2,0.0366305
2,2,0.0365758
2,2,0.0369447
2,2,0.0366539
2,2,0.0369097
2,2,0.0369858
2,2,0.0371244
2,2,0.0367012
2,2,0.0367692
2,2,0.050581
2,2,0.0367589
2,3,0.143683
2,3,0.149576
2,3,0.140715
2,3,0.152637
2,3,0.148434
2,3,0.154101
2,3,0.156025
2,3,0.140768
2,3,0.141043
2,3,0.148786
2,3,0.146097
2,3,0.140914
2,3,0.145645
2,3,0.149485
2,3,0.141517
2,3,0.141563
2,3,0.141434
2,3,0.141753
2,3,0.141689
2,3,0.14132
2,3,0.142279
2,3,0.14152
2,3,0.141619
2,3,0.14165
2,3,0.142787
2,3,0.141756
2,3,0.141626
2,3,0.141821
2,3,0.142042
2,3,0.142451
2,3,0.14176
2,3,0.14158
2,3,0.142031
2,3,0.141527
2,3,0.141241
2,3,0.141777
2,3,0.141757
2,3,0.140592
2,3,0.141251
2,3,0.141855
2,3,0.140817
2,3,0.14145
2,3,0.142201
2,3,0.14169
2,3,0.142514
2,3,0.143432
2,3,0.14274
2,3,0.142827
2,3,0.143354
2,3,0.142035
2,4,0.557239
2,4,0.556477
2,4,0.557364
2,4,0.556332
2,4,0.55651
2,4,0.556629
2,4,0.657929
2,4,0.929687
2,4,0.931731
2,4,0.930041
2,4,0.929367
2,4,0.92772
2,4,0.928194
2,4,0.927697
2,4,0.928893
2,4,0.929655
2,4,0.929256
2,4,0.928056
2,4,0.928183
2,4,0.927701
2,4,0.927793
2,4,0.927883
2,4,0.928861
2,4,0.927676
2,4,0.929263
2,4,0.929036
2,4,0.929406
2,4,0.929438
2,4,0.930648
