THD,T,Epsilon,Time
2,32,0.0001,1.10803
2,32,0.0001,1.10666
2,32,0.0001,1.10999
2,32,0.0001,1.10765
2,32,0.0001,1.10897
2,32,0.0001,1.11047
2,32,0.0001,1.10959
2,32,0.0001,1.10659
2,32,0.0001,1.11022
2,32,0.0001,1.10981
2,32,0.0001,1.10748
2,32,0.0001,1.11201
2,32,0.0001,1.109
2,32,0.0001,1.10727
2,32,0.0001,1.10871
2,32,0.0001,1.11195
2,32,0.0001,1.10886
2,32,0.0001,1.10726
2,32,0.0001,1.11036
2,32,0.0001,1.10688
2,32,0.0001,1.11125
2,32,0.0001,1.10962
2,32,0.0001,1.11162
2,32,0.0001,1.10971
2,32,0.0001,1.10953
2,32,0.0001,1.11012
2,32,0.0001,1.10704
2,32,0.0001,1.10891
2,32,0.0001,1.10915
2,32,0.0001,1.11085
2,32,0.0001,1.11157
2,32,0.0001,1.10865
2,32,0.0001,1.10955
2,32,0.0001,1.10603
2,32,0.0001,1.10947
2,32,0.0001,1.11066
2,32,0.0001,1.10838
2,32,0.0001,1.10952
2,32,0.0001,1.10643
2,32,0.0001,1.10766
2,32,0.0001,1.10686
2,32,0.0001,1.10854
2,32,0.0001,1.10723
2,32,0.0001,1.10367
2,32,0.0001,1.11152
2,32,0.0001,1.10638
2,32,0.0001,1.109
2,32,0.0001,1.1073
2,32,0.0001,1.10633
2,32,0.0001,1.11139
2,64,0.001,15.9861
2,64,0.001,15.9869
2,64,0.001,15.9929
2,64,0.001,16.0015
2,64,0.001,15.9998
2,64,0.001,16.0126
2,64,0.001,16.0084
2,64,0.001,16.0093
2,64,0.001,16.0118
2,64,0.001,16.013
2,64,0.001,16.0047
2,64,0.001,16.0169
2,64,0.001,16.0103
2,64,0.001,16.0066
2,64,0.001,16.0087
2,64,0.001,16.0107
2,64,0.001,16.0114
2,64,0.001,16.0125
2,64,0.001,16.0155
2,64,0.001,16.011
2,64,0.001,16.0095
2,64,0.001,16.001
2,64,0.001,16.0049
2,64,0.001,16.0024
2,64,0.001,16.0061
2,64,0.001,16.0091
2,64,0.001,15.9999
2,64,0.001,15.9817
2,64,0.001,15.9974
2,64,0.001,15.9978
2,64,0.001,15.9994
2,64,0.001,15.9964
2,64,0.001,16.0007
2,64,0.001,16.0002
2,64,0.001,16.0004
2,64,0.001,15.9949
2,64,0.001,15.9989
2,64,0.001,15.9939
2,64,0.001,16.0004
2,64,0.001,16.0007
2,64,0.001,16.0044
2,64,0.001,16.0034
2,64,0.001,15.9933
2,64,0.001,15.9916
2,64,0.001,15.9948
2,64,0.001,16.001
2,64,0.001,15.9997
2,64,0.001,15.9986
2,64,0.001,15.9964
2,64,0.001,15.9985
2,128,0.15,12.876
2,128,0.15,12.8759
2,128,0.15,12.8707
2,128,0.15,12.8662
2,128,0.15,12.8685
2,128,0.15,12.8734
2,128,0.15,12.8694
2,128,0.15,12.8677
2,128,0.15,12.8673
2,128,0.15,12.8753
2,128,0.15,12.865
2,128,0.15,12.8644
2,128,0.15,12.8642
2,128,0.15,12.8724
2,128,0.15,12.8624
2,128,0.15,12.8673
2,128,0.15,12.8624
2,128,0.15,12.8662
2,128,0.15,12.8686
2,128,0.15,12.8589
2,128,0.15,12.8594
2,128,0.15,12.8626
2,128,0.15,12.8727
2,128,0.15,12.8624
2,128,0.15,12.8567
2,128,0.15,12.8651
2,128,0.15,12.8761
2,128,0.15,12.8648
2,128,0.15,12.8643
2,128,0.15,12.8627
2,128,0.15,12.865
2,128,0.15,12.8594
2,128,0.15,12.8671
2,128,0.15,12.8604
2,128,0.15,12.8656
2,128,0.15,12.8697
2,128,0.15,12.8697
2,128,0.15,12.8693
2,128,0.15,12.8692
2,128,0.15,12.8646
2,128,0.15,12.8633
2,128,0.15,12.8605
2,128,0.15,12.8603
